"","species","cell","year","elev_factor","arr_GAM_mean","arr_GAM_sd"
"309","Tree Swallow",594,2012,0,94.1713333333333,2.56544448208997
"310","Tree Swallow",594,2012,1,107.367333333333,5.25467443552532
"311","Tree Swallow",595,2012,0,93.1143333333333,2.67625023630665
"312","Tree Swallow",618,2012,0,81.9586666666667,1.87744502507077
"313","Tree Swallow",619,2012,0,85.3926666666667,1.76979950436507
"314","Tree Swallow",620,2012,0,91.6673333333333,2.29443261597111
"315","Tree Swallow",621,2012,0,90.3036666666667,1.85002542872197
"316","Tree Swallow",621,2012,1,92.2863333333333,3.28023371117908
"317","Tree Swallow",622,2012,0,85.1126666666667,2.49974447955052
"318","Tree Swallow",646,2012,0,74.9416666666667,1.87138930250483
"319","Tree Swallow",647,2012,0,76.6646666666667,1.86691724925363
"320","Tree Swallow",648,2012,0,82.9193333333333,2.00752823444478
"321","Tree Swallow",648,2012,1,81.9186666666667,2.06433331762041
"322","Tree Swallow",649,2012,0,79.8903333333333,2.18187077426248
"323","Tree Swallow",674,2012,0,70.3606666666667,1.97565701200856
"324","Tree Swallow",701,2012,0,76.731,4.96321638042773
"325","Tree Swallow",701,2012,1,75.2556666666667,10.898251779659
"326","Tree Swallow",702,2012,0,67.6286666666667,4.14614379775788
"327","Tree Swallow",702,2012,1,72.6693333333333,5.24923909335841
"328","Tree Swallow",736,2012,0,98.7183333333333,3.13075035012489
"329","Tree Swallow",738,2012,0,112.130333333333,3.53687947127882
"330","Tree Swallow",739,2012,0,113.513,2.81053922054768
"331","Tree Swallow",116,2013,0,141.44,2.86806704992537
"332","Tree Swallow",226,2013,0,125.409666666667,2.87145520144057
"333","Tree Swallow",392,2013,1,104.486,3.4795363279733
"334","Tree Swallow",392,2013,2,121.393666666667,2.07222696563093
"335","Tree Swallow",393,2013,1,125.501,2.62760355333103
"336","Tree Swallow",393,2013,2,122.126,1.95824808911594
"337","Tree Swallow",417,2013,0,72.7673333333333,3.80937921612248
"338","Tree Swallow",417,2013,1,85.554,3.03603192175965
"339","Tree Swallow",417,2013,2,84.6886666666667,3.20444915500586
"340","Tree Swallow",419,2013,1,93.623,4.34010174547251
